"Date","Time","Reason For Call","Patrol Officer Name/Street","Street/Unit","Unit/Car","Race","Gender","Outcome"
"2/12/19",1817,"- MOTOR VEHICLE STOP CITATION - WARNING 2","PATROL JOHN J MCCONNELL JR .","NORTH HOOSAC RD","38 C<U+FFFD>;","W","M",3
"2/12/19",2303,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL KEVIN P GARNER","COLD SPRING RD","34","W","F",3
"2/12/19",859,"- MOTOR VEHICLE STOP CITATION - WARNING :","PATROL DAVID JENNINGS D","MAIN ST 7","34","W","M",3
"2/13/19",1614,"- MOTOR VEHICLE STOP CITATION - WARNING .","PATROL KEVIN P GARNER |","HANCOCK RD",NA,"W","M",3
"2/14/19",1422,"~ MOTOR VEHICLE STOP CITATION - CIVIL","PATROL DAVID JENNINGS D","COLD SPRING RD","34","W","M",4
"2/15/19",1748,"- MOTOR VEHICLE STOP CITATION - WARNING :","PATROL JOHN J MCCONNELL JR","COLD SPRING RD","38","W","M",3
"2/15/19",1945,"-. MOTOR VEHICLE STOP CITATION - WARNING","PATROL KEVIN P GARNER","MAIN ST",NA,"B","M",3
"2/16/19",1647,"~- MOTOR VEHICLE STOP CITATION - WARNING","PATROLMAN SCOTT SKORUPSKI","LATHAM ST","32","W","F",3
"2/16/19",2015,"~- MOTOR VEHICLE STOP CITATION - WARNING | |","PATROL JOHN J MCCONNELL JR","NORTH ST","38","W","M",3
"62/19/2019",1100,"- MOTOR VEHICLE STOP CITATION - WARNING |","CHIEF KYLE J JOHNSON","BRIDGES RD",NA,"W","M",3
"62/19/2019",1305,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL KALVIN DZ2ITEDZTAK","; NEW ASHFORD RD","34","W","M",3
"2/21/19",803,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL DAVID JENNINGS D","GREEN RIVER RD","34","W","F",3
"2/23/19",1735,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL JOHN J MCCONNELL JR",NA,"38","W","F",3
"2/26/19",2007,"- MOTOR VEHICLE STOP CITATION ~- WARNING","PATROL KALVIN DZIEDZIAK","NORTH HOOSAC RD",NA,"W","M",3
"2/28/19",2130,"~- MOTOR VEHICLE STOP CITATION - WARNING","| PATROL ANTHONY M DUPRAT","COLE AVE","34","W","F",3
"3/1/19",2201,"- MOTOR VEHICLE STOP CITATION - WARNING :","PATROL ANTHONY M DUPRAT","COLD SPRING RD )","34","B","M",3
"3/1/19",17,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROLMAN SCOTT SKORUPSKI |","WATER ST :","32 2","W","M",3
"3/2/19",1308,"~ MOTOR VEHICLE STOP CITATION - WARNING |","PATROL SHUAN N WILLIAM","BRIDGES RD","32","W","M",3
"3/3/19",1934,"- MOTOR VEHICLE STOP CITATION - CIVIL |","PATROL JOHN J MCCONNELL JR |","NORTH HOOSAC RD","38","B","M",4
"3/3/19",1543,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL SHUAN N WILLIAM )","HANCOCK RD |","32","W","M",3
"3/4/19",736,"- MOTOR VEHICLE STOP CITATION ~ WARNING |","| PATROL KALVIN DZIEDZIAK }","COLD SPRING RD","34","W","F",3
"3/4/19",1629,"- MOTOR VEHICLE STOP CITATION - WARNING )","PATROL KEVIN P GARNER |","HANCOCK RD !","34 )","W","M",3
"3/4/19",1644,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL KEVIN P GARNER |","HANCOCK RD |","34 |","W","M",3
"3/8/19",920,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL DAVID JENNINGS D","NORTH HOOSAC RD |","34 |","W","M",3
"3/8/19",2301,"- MOTOR VEHICLE STOP CITATION - WARNING !","PATROL KEVIN P GARNER","COLD SPRING RD |","34 |","W","M",3
"3/8/19",1810,"- MOTOR VEHICLE STOP CITATION - CIVIL |",NA,"NORTH HOOSAC RD","38 |","W","M",4
"3/9/19",1558,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL SHUAN N WILLIAM :","MAIN ST |","32","W","M",3
"3/9/19",1726,"~ MOTOR VEHICLE STOP CITATION - CIVIL","PATROL SHUAN N WILLIAM","BRIDGES RD","32","W","F",4
"3/13/19",1803,"~ MOTOR VEHICLE STOP CITATION - CIVIL |","PATROL JOHN J MCCONNELL JR |","NORTH ST","38 |","W","M",4
"3/15/19",1757,"- MOTOR VEHICLE STOP CITATION - WARNING !","PATROL JOHN J MCCONNELL JR","MAIN ST","38","W","F",3
"3/15/19",1941,"~ MOTOR VEHICLE STOP CITATION - WARNING :","PATROL KEVIN P GARNER |","COLD SPRING RD","34","W","M",3
"3/15/19",2132,"- MOTOR VEHICLE STOP CITATION - CIVIL |","PATROL JOHN J MCCONNELL JR","NORTH HOOSAC RD","38 |","W","M",4
"3/15/19",1606,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL SHUAN N WILLIAM","MAIN ST","32 |","W","F",3
"3/15/19",1945,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL SHUAN N WILLIAM |","NEW ASHFORD RD |","32 :","W","F",3
"3/16/19",55,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL ANTHONY M DUPRAT","COLD SPRING RD","38","W","M",3
"3/16/19",1810,"- MOTOR VEHICLE STOP CITATION - WARNING |","SERGEANT DAVID R LEMIEUX",NA,"31 }","W","M",3
"3/19/19",45,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL CRAIG A BICHHAMMER","WATER ST","32","W","M",3
"3/19/19",1845,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL JOHN J MCCONNELL JR","MAIN ST","38","W","F",3
"3/19/19",1951,"- MOTOR VEHICLE STOP CITATION - WARNING .","PATROL KALVIN DZIEDZIAK","MAIN ST","32","B","M",3
"3/20/19",1212,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL DAVID JENNINGS D","NORTH HOOSAC RD","34","W","M",3
"3/20/19",1704,"- MOTOR VEHICLE STOP CITATION -~ CIVIL","PATROL SHUAN N WILLIAM","COLD SPRING RD","38","W","F",4
"3/21/19",2236,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL KEVIN P GARNER","COLD SPRING RD","34","W","M",3
"3/22/19",1813,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL SHUAN N WILLIAM","BRIDGES RD","32","W","M",3
"3/24/19",2321,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROLMAN SCOTT SKORUPSKI","SIMONDS RD |","32","W","F",3
"3/24/19",56,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL CRAIG A EICHHAMMER","COLD SPRING RD","31","W","M",3
"3/24/19",910,"- MOTOR VEHICLE STOP CITATION - WARNING |","SERGEANT SCOTT E MCGOWAN )","MAIN ST |","30 |","W","M",3
"3/25/19",2041,"- MOTOR VEHICLE STOP CITATION ~ WARNING",NA,NA,"34","W","F",3
"3/26/19",731,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL TANIA HERNANDEZ","MAIN ST","36","B","M",3
"3/27/19",21,"- MOTOR VEHICLE STOP CITATION ~- WARNING","PATROL KEVIN P GARNER","COLD SPRING RD |","34","B","F",3
"3/27/19",205,"- MOTOR VEHICLE STOP CITATION ~- WARNING |","PATROL KEVIN P GARNER","COLD SPRING RD","34 :","W","F",3
"3/27/19",244,"- MOTOR VEHICLE STOP CITATION ~ WARNING :","PATROL ANTHONY M DUPRAT |","MAIN ST }","38 :","W","F",3
"3/28/19",31,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL KALVIN DZIEDZIAK","NEW ASHFORD RD","38","W","M",3
"3/28/19",443,"- MOTOR VEHICLE STOP CITATION - WARNING !","PATROL KALVIN DZIEDZTAK |","COLD SPRING RD |","38 |","W","F",3
"3/29/19",15,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROLMAN SCOTT SKORUPSKT 2","MAIN ST |","32 2","W","M",3
"3/29/19",345,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL KALVIN DZIEDZTAK |","NORTH HOOSAC RD","38 |","W","M",3
"3/29/19",624,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL KALVIN DZIEDZIAK","WATER ST","38","W","M",3
"3/31/19",809,"- MOTOR VEHICLE sTopP CITATION - WARNING |","SERGEANT SCOTT E MCGOWAN |","BRIDGES RD |","30 |","W","F",3
"4/1/19",937,"~ MOTOR VEHICLE STOP CITATION - WARNING","SERGEANT SCOTT E MCGOWAN","NEW ASHFORD RD","30","A","F",3
"4/1/19",947,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL TANIA HERNANDEZ","MAIN ST","36","W","F",3
"4/1/19",1221,"~ MOTOR VEHICLE STOP CITATION - WARNING","SERGEANT SCOTT E MCGOWAN","BRIDGES RD","30","W","M",3
"3/31/19",1726,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL SHUAN N WILLIAM |","BRIDGES RD |","32 .","W","F",3
"3/31/19",1736,"~ MOTOR VEHICLE STOP CITATION - WARNING |","PATROL JOHN J MCCONNELL JR","COLD SPRING RD","38","B","M",3
"3/31/19",1905,"- MOTOR VEHICLE STOP CITATION ~ WARNING",NA,"HANCOCK RD","32","W","F",3
"3/31/19",1947,"-~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL SHUAN N WILLIAM","NEW ASHFORD RD","32 |","W","F",3
"3/31/19",2107,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL JOHN J MCCONNELL JR |","MAIN ST |","38 )","W","F",3
"4/2/19",101,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL ANTHONY M DUPRAT","SAND SPRINGS RD","38","W","M",3
"4/2/19",823,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL TANIA HERNANDEZ","COLE AVE","36","W","M",3
"4/3/19",821,"- MOTOR VEHICLE STOP CITATION ~- WARNING","PATROL TANIA HERNANDEZ","COLE AVE","36","W","F",3
"4/6/19",2340,"- MOTOR VEHICLE STOP CITATION ~ WARNING","DISPATCHER LAURIE TUPER","SOUTHWORTH ST","38","W","M",3
"4/6/19",1046,"-~ MOTOR VEHICLE STOP CITATION - WARNING","SERGEANT SCOTT E MCGOWAN","BRIDGES RD","30","W","F",3
"4/6/19",1424,"- MOTOR VEHICLE STOP CITATION -~ WARNING","PATROL DAVID JENNINGS D","WATER ST","34","W","P",3
"4/6/19",1714,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL JOHN J MCCONNELL JR","NEW ASHFORD RD","38","W","F",3
"4/7/19",947,"~- MOTOR VEHICLE STOP CRIMINAL COMPLAINT",NA,"BRIDGES RD",NA,"W","F",5
"4/7/19",1005,"~ MOTOR VEHICLE STOP CITATION ~ WARNING |","SERGEANT SCOTT E MCGOWAN","BRIDGES RD","30","W","F",3
"4/7/19",1307,"~- MOTOR VEHICLE STOP CITATION - WARNING","SERGEANT SCOTT E MCGOWAN","NEW ASHFORD RD","30","W","F",3
"4/7/19",2114,"- MOTOR VEHICLE STOP CITATION - CIVIL |","PATROL SHUAN N WILLIAM |","BRIDGES RD 2","32 |","W","F",4
"4/7/19",2141,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL JOHN J MCCONNELL JR","MAIN ST","38","W","M",3
"4/8/19",2347,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL ANTHONY M DUPRAT","MAIN ST","38","W","M",3
"4/4/19",1716,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL SHUAN N WILLIAM","NORTH HOOSAC RD","32","W","M",3
"4/4/19",1843,"- MOTOR VEHICLE STOP CITATION - WARNING :","PATROL KEVIN P GARNER","HANCOCK RD |","34 |","W","F",3
"4/4/19",2258,"- MOTOR VEHICLE STOP CITATION ~ WARNING |","PATROL KEVIN P GARNER","COLD SPRING RD","34","W","F",3
"4/4/19",20,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROLMAN SCOTT SKORUPSKI :","HOPKINS HALL DR }","32 |","W","M",3
"4/5/19",1651,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL JOHN J MCCONNELL JR |","WATERMAN PL |","38","W","F",3
"4/5/19",728,"~- MOTOR VEHICLE STOP CITATION - WARNING","PATROL KALVIN DZIEDZIAK","COLD SPRING RD","34","W","M",3
"4/10/19",2332,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL ANTHONY M DUPRAT !","MAIN ST","38","W","M",3
"4/10/19",1625,"- MOTOR VEHICLE STOP CITATION - WARNING )","PATROL JOHN J MCCONNELL JR","WATER ST","38","W","F",3
"4/11/19",843,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL DAVID JENNINGS D |","NORTH HOOSAC RD","34","W","F",3
"4/11/19",856,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL DAVID JENNINGS D ;","NORTH HOOSAC RD |","34 |","W","M",3
"4/12/19",1248,"- MOTOR VEHICLE STOP CITATION - WARNING :","PATROL DAVID JENNINGS D }","COLD SPRING RD :","34 |","W","F",3
"4/12/19",1851,"- MOTOR VEHICLE STOP CITATION - CIVIL :","PATROL JOHN J MCCONNELL JR",NA,NA,"W","M",4
"4/12/19",1017,"- MOTOR VEHICLE STOP CITATION - WARNING :","SERGEANT SCOTT E MCGOWAN","NEW ASHFORD RD","30","W","F",3
"4/12/19",1440,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL DAVID JENNINGS D |","NEW ASHFORD RD","30","W","M",3
"4/12/19",1946,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL SHUAN N WILLIAM |","NEW ASHFORD RD |","32 :","W","F",3
"4/13/19",221,"- MOTOR VEHICLE STOP CITATION - WARNING )","PATROL ANTHONY M DUPRAT |","COLD SPRING RD","38 |","W","F",3
"4/13/19",1625,"- MOTOR VEHICLE STOP CITATION ~- WARNING","PATROL JOHN J MCCONNELL JR","NEW ASHFORD RD","38","W","M",3
"4/13/19",1943,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL JOHN J MCCONNELL JR","BRIDGES RD","38","W","F",3
"4/14/19",107,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL ANTHONY M DUPRAT |","WATER ST /","34 |","W","F",3
"4/15/19",104,"- MOTOR VEHICLE STOP CITATION ~ WARNING |","PATROLMAN SCOTT SKORUPSKI )","WHITMAN ST 2","32","W","M",3
"4/15/19",1627,"- MOTOR VEHICLE STOP CITATION ~- WARNING","PATROL TANIA HERNANDEZ","MAIN ST","36","W","M",3
"4/18/19",1619,"~ MOTOR VEHICLE STOP CITATION ~ CIVIL","PATROL KALVIN DZIEDZIAK","MAIN ST","35","W","M",4
"4/19/19",816,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL TANIA HERNANDEZ","NORTH HOOSAC RD",NA,"W","F",3
"4/19/19",852,"~- MOTOR VEHICLE STOP CITATION - WARNING","PATROL DAVID JENNINGS D","HANCOCK RD","35","W","M",3
"4/19/19",933,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL DAVID JENNINGS D |","HANCOCK RD","35","B","M",3
"4/19/19",1050,"- MOTOR VEHICLE STOP CITATION ~- WARNING","SERGEANT SCOTT E MCGOWAN","NORTH HOOSAC RD","30","W","F",3
"4/19/19",1628,"- MOTOR VEHICLE STOP CITATEON - WARNING :","PATROL KEVIN P GARNER |","HANCOCK RD |","34 |","W","F",3
"4/19/19",1634,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL KALVIN DZIEDZIAK","MAIN ST","35","W","F",3
"4/19/19",2110,"-~- MOTOR VEHICLE STOP CITATION - WARNING","PATROL KALVIN DZIEDZIAK","NORTH HOOSAC RD","35","W","M",3
"4/20/19",216,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL ANTHONY M DUPRAT 2","NORTH HOOSAC RD","35","W","F",3
"4/21/19",2351,"- MOTOR VEHICLE STOP CITATION - WARNING :","PATROL ANTHONY M DUPRAT :","COLD SPRING RD |","35","W","F",3
"4/21/19",1601,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL KEVIN P GARNER","HANCOCK RD |","34","W","M",3
"4/22/19",2354,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL ANTHONY M DUPRAT","COLD SPRING RD","35","U","F",3
"4/22/19",856,"-~ MOTOR VEHICLE STOP CITATION - WARNING","PATROLMAN MICHAEL J ZIEMBA Jr","COLE AVE","37K","W","F",3
"4/23/19",842,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL DAVID JENNINGS D","MAIN ST .",NA,"W","F",3
"4/23/19",1000,"~ MOTOR VEHICLE STOP CITATION - WARNING","SERGEANT SCOTT E MCGOWAN","NEW ASHFORD RD","30","W","F",3
"4/24/19",1357,"~ MOTOR VEHICLE STOP CRIMINAL COMPLAINT","CHIEF KYLE J JOHNSON","iWIA 191] MAIN ST","37K","W","M",5
"4/25/19",811,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL TANIA HERNANDEZ","MAIN ST |","36 |","W","M",3
"4/25/19",1803,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL SHUAN N WILLIAM )","| HOXSEY ST |","32 )","W","M",3
"4/26/19",44,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL KEVIN P GARNER","MAIN ST","34","W","M",3
"4/26/19",958,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL TANIA HERNANDEZ","MAIN ST","36","W","F",3
"4/27/19",46,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROLMAN SCOTT SKORUPSKI","NORTH ST","32","W","M",3
"4/27/19",1852,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL SHUAN N WILLIAM 2","BRIDGES RD :","32","W","M",3
"4/28/19",928,"- MOTOR VEHICLE STOP CITATION -~- WARNING","PATROL BRAD SACCO","HANCOCK RD","35","W","M",3
"4/28/19",1015,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL BRAD SACCO","COLD SPRING RD","35","U","M",3
"4/28/19",1812,"- MOTOR VEHICLE STOP CITATION - CIVIL |","DISPATCHER LAURIE TUPER","[WIA 249] NORTH ST","38","U","M",4
"4/29/19",1742,"- MOTOR VEHICLE STOP CRIMINAL COMPLAINT !","DISPATCHER LAURIE TUPER","[WIA 1620] MAIN ST","38","W","M",5
"5/1/19",724,"~- MOTOR VEHICLE STOP CITATION - CIVIL","PATROL TANIA HERNANDEZ","COLD SPRING RD","36 |","W","M",4
"5/1/19",725,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL DAVID JENNINGS D","WATERMAN Pi","34","W","M",3
"5/1/19",741,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL TANIA HERNANDEZ |","COLD SPRING RD |","36 :","A","F",3
"5/1/19",1734,"-~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL JOHN J MCCONNELL JR","COLD SPRING RD","38","W","M",3
"5/2/19",1052,"- MOTOR VEHICLE STOP CITATION - CIVIL |","PATROL DAVID JENNINGS D","NORTH HOOSAC RD","34","W","F",4
"5/3/19",1258,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL BRAD SACCO","COLD SPRING RD","35 |","U","F",3
"5/4/19",1647,"- MOTOR VEHICLE STOP NO ACTION REQUIRED }","PATROL JOHN J MCCONNELL JR","WATER ST |","38 2","U","F",2
"5/4/19",2140,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL JOHN J MCCONNELL JR |","NORTH HOOSAC RD :","38 }","B","F",3
"5/6/19",919,"- MOTOR VEHICLE STOP CITATION - WARNING }","PATROL TANIA HERNANDEZ","MAIN ST","36","W","M",3
"5/7/19",39,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL KEVIN P GARNER","NEW ASHFORD RD","34","W","M",3
"5/7/19",718,"~ MOTOR VEHICLE STOP CITATION - WARNING","PATROL DAVID JENNINGS D","COLD SPRING RD","35","B","F",3
"5/7/19",821,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL TANIA HERNANDEZ |","COLE AVE","36","W","F",3
"5/7/19",1014,"~- MOTOR VEHICLE STOP CITATION - CIVIL","PATROL TANIA HERNANDEZ","GREEN RIVER RD","36","W","F",4
"5/8/19",1040,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL BRAD SACCO |","HANCOCK RD","35 |","W","M",3
"5/8/19",1054,"- MOTOR VEHICLE STOP CITATION - WARNING. |","PATROL BRAD SACCO |","NEW ASHFORD RD","35","W","F",3
"5/8/19",1925,"- MOTOR VEHICLE STOP CITATION - CIVIL )","PATROL KEVIN P GARNER |","HANCOCK RD","34 |","W","M",4
"5/9/19",806,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL TANIA HERNANDEZ","COLE AVE |","36 }","W","F",3
"5/9/19",1204,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL BRAD SACCO","BRIDGES RD","35","U","M",3
"5/10/19",1507,"~ MOTOR VEHICLE STOP CITATION - WARNING","DISPATCBER WILLIAM C JENNINGS JR |","GREEN RIVER RD","35","W","M",3
"5/10/19",1747,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL BRAD SACCO |","HANCOCK RD","35 }","W","M",3
"5/10/19",1815,"~ MOTOR VEHICLE STOP CITATION - WARNING :","PATROL BRAD SACCO","| GREEN RIVER RD :",NA,"W","F",3
"5/13/19",918,"- MOTOR VEHICLE STOP CITATION -~ WARNING","PATROL BRAD SACCO","NEW ASHFORD RD","35","U","F",3
"5/13/19",1159,"- MOTOR VEHICLE STOP CITATION ~ WARNING","PATROL BRAD SACCO","COLD SPRING RD","35","W","M",3
"5/13/19",1244,"- MOTOR VEHICLE STOP CRIMINAL COMPLAINT |",NA,"COLD SPRING RD","35 |","W","F",5
"5/14/19",949,"~ MOTOR VEHICLE STOP CITATION - WARNING 2","PATROL BRAD SACCO","GREEN RIVER RD","35","W","F",3
"5/14/19",1332,"- MOTOR VEHICLE STOP CITATION - WARNING |","PATROL BRAD SACCO |","NEW ASHFORD RD 2","35 |","W","M",3
"5/18/19",30,"-~- MOTOR VEHICLE STOP CITATION - WARNING","PATROL KEVIN P GARNER",NA,"34","W","M",3
"5/19/19",2357,"-~- MOTOR VEHICLE STOP CITATION - WARNING","PATROL ANTHONY M DUPRAT","COLD SPRING RD","35","W","F",3
"5/20/19",6030,"-~- MOTOR VEHICLE STOP CITATION - WARNING","PATROL KEVIN P GARNER","MAIN ST",NA,"W","F",3
